Município,Nome,Endereço,Bairro,Seções,Seções Especiais,zona_eleitoral
SÃO BERNARDO DO CAMPO,EMEB. TARSILA DO AMARAL,"RUA ALEXANDRE BONÍCIO, 275",ALVES DIAS,463ª; 467ª;,463ª;,296
,,,,,,296
SÃO BERNARDO DO CAMPO,EE. ANTONIO CAPUTO,"RUA MARCILIO CONRADO, 280 - RIACHO GRANDE",RIO GRANDE,Da 81ª à 92ª; 158ª; 177ª; 182ª; 215ª; 330ª;,158ª; 182ª;,409
SÃO BERNARDO DO CAMPO,EE. AYRTON SENNA DA SILVA,"R SALIM MAHFOUD, S/N",PARQUE TERRA NOVA I I,Da 150ª à 154ª; 175ª; 194ª; 210ª; 225ª; 248ª; 262ª;,262ª;,409
SÃO BERNARDO DO CAMPO,EE. DIPLOMATA SERGIO VIEIRA DE MELLO,"ESTRADA DOS ALVARENGA, 4100",ALVARENGA,165ª; 173ª; 189ª; 206ª; 220ª; 228ª; 236ª; 251ª; 260ª; 270ª; 283ª;,206ª;,409
SÃO BERNARDO DO CAMPO,EE. DR. FRANCISCO EMYGDIO PEREIRA NETO,"R ARMANDO BACKX, 441 - DEMARCHI",JARDIM DAS ACÁCIAS,Da 64ª à 74ª; 193ª; 221ª; 255ª; 277ª;,,409
SÃO BERNARDO DO CAMPO,EE. DR. JOSÉ GONÇALVES DE ANDRADE FIGUEIRA,"RUA FERNANDO PESSOA, 192 - BATISTINI",JARDIM DA REPRESA,Da 123ª à 131ª; 176ª; 190ª; 204ª; 224ª; 243ª; 266ª;,123ª;,409
SÃO BERNARDO DO CAMPO,EE. DR. MATHIAS OCTAVIO ROXO NOBRE,"ESTRADA GALVAO BUENO, 4983",BATISTINI,Da 113ª à 122ª; 168ª; 181ª;,168ª;,409
SÃO BERNARDO DO CAMPO,EE. FRANCISCO CRISTIANO LIMA DE FREITAS,"ESTRADA DO PONEY CLUB, S/N - JD. DAS ORQUÍDEAS",ALVARENGA,Da 28ª à 41ª; 202ª;,202ª;,409
SÃO BERNARDO DO CAMPO,EE. MARCO ANTONIO PRUDENTE DE TOLEDO,"ESTRADA DO PONEY CLUB, 2120",ALVARENGA,163ª; 169ª; 178ª; 185ª; 199ª; 217ª; 227ª; 235ª; 250ª; 259ª; 273ª; 332ª; 349ª;,,409
SÃO BERNARDO DO CAMPO,EE. OMAR DONATO BASSANI,"ESTRADA ERNESTO ZABEU, 253",TATETOS,Da 108ª à 112ª; 196ª; 229ª; 282ª; 317ª; 381ª; 403ª;,282ª;,409
SÃO BERNARDO DO CAMPO,EE. PROF. DOMINGOS PEIXOTO DA SILVA,"ESTRADA DOS ALVARENGA, 7199 - JD. LAURA",ALVARENGA,Da 132ª à 142ª; 167ª; 180ª; 195ª; 209ª; 222ª; 234ª; 257ª; 278ª; 301ª;,301ª;,409
SÃO BERNARDO DO CAMPO,EE. PROFª FAUSTINA PINHEIRO DA SILVA,"RUA VALDOMIRO LUIZ, 11 - JD. N. SRA. FÁTIMA",DEMARCHI,Da 75ª à 80ª; 230ª; 348ª;,77ª;,409
SÃO BERNARDO DO CAMPO,EE. PROF. JACOB CASSEB,"ESTRADA DA CAMA PATENTE, 200",ALVARENGA,Da 18ª à 27ª; 186ª; 212ª; 246ª;,246ª;,409
SÃO BERNARDO DO CAMPO,EE. PROF. JOSÉ JORGE DO AMARAL,"RUA FRANCISCO MARIOTTO, 99 - RIACHO GRANDE",JARDIM BROOKLIN,Da 100ª à 107ª; 172ª; 198ª; 216ª; 249ª; 280ª; 350ª;,350ª;,409
